Navn på virksomhed;Total værdi;Fortjeneste for året;Procentsats for forøgelse af værdi fra sidste år
Zenith Partners;344000000;39791000;4.1
Vertex Group;915000000;66461000;-3.8
Vega Systems;55000000;8018000;3.0
Mira Industries;180000000;30517000;9.6
Apex Partners;897000000;63566000;-12.0
Vektor Partners;303000000;43311000;17.9
Polar Labs;784000000;162655000;-17.5
Zenith Analytics;694000000;132112000;18.0
Nord Logistics;431000000;26778000;-13.2
Lumen Logistics;817000000;145508000;-3.7
Cobalt Systems;198000000;33389000;-1.4
Nimbus Partners;897000000;172146000;-13.1
Nord Dynamics;51000000;9575000;11.1
Kvant Dynamics;403000000;63302000;27.1
Cobalt Logistics;641000000;139002000;22.4
Polar Works;209000000;15606000;17.4
Aurora Labs;556000000;14748000;22.9
Zenith Digital;214000000;35327000;1.2
Kvant Logistics;609000000;129531000;-4.7
Cobalt Analytics;845000000;62017000;-10.0
Sol Systems;211000000;13101000;4.4
Zenith Industries;209000000;17317000;30.4
Nimbus Industries;73000000;15502000;-14.0
Atlas Industries;820000000;70657000;12.3
Terra Digital;894000000;104405000;-8.0
Vektor Dynamics;110000000;22621000;24.4
Zenith Systems;255000000;39830000;-6.8
Vertex Works;881000000;30752000;13.7
Cobalt Labs;682000000;149945000;23.8
Vertex Energy;358000000;15469000;29.6
Vertex Industries;212000000;21773000;-4.1
Fjord Group;718000000;118677000;19.1
Aurora Dynamics;499000000;36120000;5.6
Nord Group;804000000;40610000;31.0
Vektor Solutions;463000000;86850000;17.2
Orbit Dynamics;864000000;68215000;-17.8
Orbit Labs;456000000;42904000;2.6
Nord Energy;914000000;46785000;-12.2
Aurora Analytics;282000000;18282000;17.8
Nimbus Analytics;166000000;18062000;-15.9
Nord Solutions;896000000;29370000;-0.1
Apex Industries;124000000;21052000;-10.2
Orbit Systems;926000000;126016000;10.9
Terra Group;86000000;18365000;-4.0
Eko Works;305000000;38282000;13.6
Vektor Logistics;701000000;44459000;3.6
Nimbus Systems;452000000;60738000;-12.4
Atlas Partners;223000000;35471000;24.6
Terra Dynamics;205000000;7864000;-14.6
Aurora Works;900000000;92883000;-15.1
Atlas Digital;910000000;186583000;4.2
Vega Solutions;447000000;27169000;5.1
Cobalt Dynamics;676000000;29873000;2.1
Lumen Systems;90000000;11685000;7.3
Aurora Group;133000000;26071000;-4.9
Eko Digital;336000000;12145000;11.2
Polar Dynamics;126000000;17808000;-0.7
Vega Works;218000000;11714000;-15.7
Vektor Digital;501000000;72243000;20.4
Zenith Energy;532000000;63980000;27.3
Vertex Logistics;899000000;150286000;15.7
Kvant Solutions;233000000;29050000;21.7
Nord Systems;695000000;142162000;13.2
Kvant Partners;259000000;19890000;-11.5
Vertex Solutions;436000000;79106000;25.2
Vega Analytics;150000000;31048000;26.0
Cobalt Group;349000000;36110000;-3.2
Vega Dynamics;651000000;143024000;31.8
Apex Energy;16000000;2022000;22.3
Terra Industries;845000000;50299000;2.6
Terra Analytics;608000000;102429000;-15.0
Polar Systems;813000000;109086000;25.7
Terra Labs;671000000;83428000;16.0
Aurora Solutions;830000000;139865000;14.9
Nord Industries;733000000;33776000;25.6
Lumen Solutions;713000000;52518000;-12.9
Sol Partners;321000000;66348000;-12.8
Lumen Labs;538000000;25582000;27.0
Atlas Labs;145000000;9049000;15.2
Polar Logistics;907000000;62929000;-16.8
Mira Works;645000000;87704000;2.3
Nimbus Solutions;728000000;154101000;31.8
Nimbus Labs;650000000;111246000;28.3
Sol Digital;403000000;10244000;1.5
Sol Industries;481000000;50897000;13.5
Atlas Analytics;878000000;113755000;29.0
Zenith Dynamics;362000000;65564000;-12.5
Kvant Labs;257000000;49755000;30.8
Apex Logistics;486000000;45287000;23.0
Vektor Energy;455000000;81091000;12.3
Fjord Partners;529000000;108064000;8.6
Cobalt Energy;612000000;82754000;-2.2
Fjord Systems;388000000;77717000;21.8
Polar Partners;185000000;19286000;6.1
Atlas Logistics;755000000;156606000;10.6
Polar Energy;868000000;21769000;-3.7
Cobalt Digital;322000000;39892000;15.3
Mira Energy;584000000;89974000;6.3
Fjord Labs;675000000;56362000;-2.2
Nova Group;919000000;146809000;-10.5
